,ISBN,title,author,year,publisher,alt_title,alt_author,correct_author,alt_first_author,viaf_id,viaf_name,QID,sexuality,country,language,religion,gender,ethnicity,birthyear,deathyear,label,ISBN_alt
5,0399135782,The Kitchen God's Wife,Amy Tan,1991,Putnam Pub Group,The Kitchen God's Wife,Amy Tan,Amy Tan,Amy Tan,110768273,"Amy Tan, 1952-",Q234989,,United States of America,English,Baptists,female,,1952.0,,Amy Tan,0399135782
18,0440234743,The Testament,John Grisham,1999,Dell,The Testament,John Grisham,John Grisham,John Grisham,7449742,"John Grisham, 1955-",Q106465,,United States of America,English,Southern Baptist Convention,male,,1955.0,,John Grisham,0440234743
19,0452264464,Beloved (Plume Contemporary Fiction),Toni Morrison,1994,Plume,Beloved,Toni Morrison|Chloe Anthony Wofford Morrison,Toni Morrison,Toni Morrison,109406177,"Toni Morrison, 1931-2019",Q72334,,United States of America,,,female,African Americans,1931.0,2019.0,Toni Morrison,0452264464
20,0609804618,Our Dumb Century: The Onion Presents 100 Years of Headlines from America's Finest News Source,The Onion,1999,Three Rivers Press,Our Dumb Century,Scott Dikkers,,Scott Dikkers,73154380897130290240,The Onion,,,,,,,,,,,0609804618
26,0971880107,Wild Animus,Rich Shapero,2004,Too Far,Wild Animus,Rich Shapero,Rich Shapero,Rich Shapero,14491352,Rich Shapero,Q6174115,,United States of America,,,male,,1948.0,,Rich Shapero,0971880107
27,0345402871,Airframe,Michael Crichton,1997,Ballantine Books,Airframe,Michael Crichton,Michael Crichton,Michael Crichton,89578936,"Michael Crichton, 1942-2008",Q172140,,United States of America,,deism,male,,1942.0,2008.0,Michael Crichton,0345402871
28,0345417623,Timeline,MICHAEL CRICHTON,2000,Ballantine Books,Timeline,Michael Crichton,Michael Crichton,Michael Crichton,89578936,"Michael Crichton, 1942-2008",Q172140,,United States of America,,deism,male,,1942.0,2008.0,Michael Crichton,0345417623
30,0375759778,Prague : A Novel,ARTHUR PHILLIPS,2003,Random House Trade Paperbacks,Prague,Arthur Phillips,Arthur Phillips,Arthur Phillips,87500391,"Arthur Phillips, 1969-",Q738911,,United States of America,,,male,,1969.0,,Arthur Phillips,0375759778
36,0375406328,Lying Awake,Mark Salzman,2000,Alfred A. Knopf,Lying Awake,Mark Salzman,Mark Salzman,Mark Salzman,32033615,"Mark Salzman, 1959-",Q6769577,,United States of America,,,male,,1959.0,,Mark Salzman,0375406328
37,0446310786,To Kill a Mockingbird,Harper Lee,1988,Little Brown &amp; Company,To Kill a Mockingbird,Harper Lee,Harper Lee,Harper Lee,12431460,"Harper Lee, 1926-2016",Q182658,,United States of America,,,female,,1926.0,2016.0,Harper Lee,0446310786
38,0449005615,Seabiscuit: An American Legend,LAURA HILLENBRAND,2002,Ballantine Books,Under the Tuscan Sun,Frances Mayes,,Frances Mayes,56822917,Laura Hillenbrand,Q311602,,United States of America,,,female,,1967.0,,Laura Hillenbrand,0449005615
39,0060168013,Pigs in Heaven,Barbara Kingsolver,1993,Harpercollins,Pigs in Heaven,Barbara Kingsolver,Barbara Kingsolver,Barbara Kingsolver,79097759,"Barbara Kingsolver, 1955-",Q1264643,,United States of America,English,,female,,1955.0,,Barbara Kingsolver,0060168013
44,0553582909,Icebound,Dean R. Koontz,2000,Bantam Books,Icebound,Dean Koontz,Dean Koontz,Dean Koontz,110880758,Dean Koontz,Q272076,,United States of America,,,male,,1945.0,,Dean Koontz,0553582909
45,0671888587,I'll Be Seeing You,Mary Higgins Clark,1994,Pocket,I'll Be Seeing You,Mary Higgins Clark,Mary Higgins Clark,Mary Higgins Clark,100252785,"Mary Higgins Clark, 1927–2020",Q231736,,United States of America,,Catholic Church,female,,1927.0,2020.0,Mary Higgins Clark,0671888587
46,0553582747,From the Corner of His Eye,Dean Koontz,2001,Bantam Books,From the Corner of His Eye,Dean Ray Koontz,Dean Ray Koontz,Dean Ray Koontz,110880758,"Dean Ray Koontz, 1945-",Q272076,,United States of America,,,male,,1945.0,,Dean Koontz,0553582747
47,0425182908,Isle of Dogs,Patricia Cornwell,2002,Berkley Publishing Group,Isle of Dogs,Patricia Daniels Cornwell,Patricia Daniels Cornwell,Patricia Daniels Cornwell,36976332,"Patricia Daniels Cornwell, 1956-",Q231467,,United States of America,,,female,,1956.0,,Patricia Cornwell,0425182908
48,042518630X,Purity in Death,J.D. Robb,2002,Berkley Publishing Group,Purity in Death,J. D. Robb|Nora Roberts,J. D. Robb,J. D. Robb,66448023,"J. D. Robb, 1950-",Q231356,,United States of America,English,,female,,1950.0,,Nora Roberts,042518630X
49,0440223571,This Year It Will Be Different: And Other Stories,Maeve Binchy,1997,Dell,This Year it Will be Different and Other Stories,Maeve Binchy,Maeve Binchy,Maeve Binchy,113069974,"Maeve Binchy, 1940-2012",Q152690,,Republic of Ireland,English,,female,,1940.0,2012.0,Maeve Binchy,0440223571
